filepath,xmin,xmax,ymin,ymax
../Automatic_Number_Plate_Recognition/images\N38.xml,397,645,590,641
../Automatic_Number_Plate_Recognition/images\N4.xml,1326,1830,1464,1607
../Automatic_Number_Plate_Recognition/images\N40.xml,328,580,208,254
../Automatic_Number_Plate_Recognition/images\N42.xml,163,373,253,327
../Automatic_Number_Plate_Recognition/images\N43.xml,142,298,281,327
../Automatic_Number_Plate_Recognition/images\N44.xml,113,257,282,322
../Automatic_Number_Plate_Recognition/images\N45.xml,107,256,147,180
../Automatic_Number_Plate_Recognition/images\N46.xml,454,797,109,234
../Automatic_Number_Plate_Recognition/images\N47.xml,161,313,212,259
../Automatic_Number_Plate_Recognition/images\N48.xml,156,335,259,303
../Automatic_Number_Plate_Recognition/images\N49.xml,196,352,135,173
../Automatic_Number_Plate_Recognition/images\N5.xml,938,1173,709,762
../Automatic_Number_Plate_Recognition/images\N50.xml,101,397,223,291
../Automatic_Number_Plate_Recognition/images\N51.xml,383,491,212,248
../Automatic_Number_Plate_Recognition/images\N52.xml,234,422,254,294
../Automatic_Number_Plate_Recognition/images\N53.xml,217,428,147,188
../Automatic_Number_Plate_Recognition/images\N54.xml,189,299,162,188
../Automatic_Number_Plate_Recognition/images\N56.xml,302,486,265,303
../Automatic_Number_Plate_Recognition/images\N57.xml,211,406,161,202
../Automatic_Number_Plate_Recognition/images\N58.xml,221,430,190,231
../Automatic_Number_Plate_Recognition/images\N59.xml,1238,2468,1012,1269
../Automatic_Number_Plate_Recognition/images\N6.xml,858,1122,611,676
../Automatic_Number_Plate_Recognition/images\N61.xml,158,350,252,297
../Automatic_Number_Plate_Recognition/images\N62.xml,289,421,188,232
../Automatic_Number_Plate_Recognition/images\N63.xml,297,422,174,218
../Automatic_Number_Plate_Recognition/images\N64.xml,19,94,249,314
../Automatic_Number_Plate_Recognition/images\N65.xml,1024,1273,611,680
../Automatic_Number_Plate_Recognition/images\N66.xml,163,320,247,280
../Automatic_Number_Plate_Recognition/images\N67.xml,164,336,162,195
../Automatic_Number_Plate_Recognition/images\N68.xml,319,479,262,295
../Automatic_Number_Plate_Recognition/images\N69.xml,637,840,464,549
../Automatic_Number_Plate_Recognition/images\N7.xml,1149,1358,649,702
../Automatic_Number_Plate_Recognition/images\N70.xml,186,395,376,430
../Automatic_Number_Plate_Recognition/images\N72.xml,186,325,177,212
../Automatic_Number_Plate_Recognition/images\N73.xml,124,209,102,130
../Automatic_Number_Plate_Recognition/images\N74.xml,161,366,210,250
../Automatic_Number_Plate_Recognition/images\N75.xml,466,740,680,737
../Automatic_Number_Plate_Recognition/images\N77.xml,361,566,190,297
../Automatic_Number_Plate_Recognition/images\N78.xml,146,302,160,196
../Automatic_Number_Plate_Recognition/images\N79.xml,113,277,288,347
../Automatic_Number_Plate_Recognition/images\N8.xml,788,1525,1675,1851
../Automatic_Number_Plate_Recognition/images\N80.xml,248,372,116,144
../Automatic_Number_Plate_Recognition/images\N81.xml,66,174,302,332
../Automatic_Number_Plate_Recognition/images\N82.xml,456,651,722,778
../Automatic_Number_Plate_Recognition/images\N84.xml,235,349,319,352
../Automatic_Number_Plate_Recognition/images\N85.xml,163,302,357,427
../Automatic_Number_Plate_Recognition/images\N86.xml,448,638,273,338
../Automatic_Number_Plate_Recognition/images\N88.xml,208,370,89,173
../Automatic_Number_Plate_Recognition/images\N89.xml,150,378,217,269
../Automatic_Number_Plate_Recognition/images\N9.xml,142,441,55,167
../Automatic_Number_Plate_Recognition/images\N90.xml,53,185,206,232
../Automatic_Number_Plate_Recognition/images\N91.xml,239,347,187,211
../Automatic_Number_Plate_Recognition/images\N92.xml,113,420,209,260
../Automatic_Number_Plate_Recognition/images\N93.xml,385,746,293,434
../Automatic_Number_Plate_Recognition/images\N94.xml,63,243,234,274
../Automatic_Number_Plate_Recognition/images\N95.xml,23,408,173,391
../Automatic_Number_Plate_Recognition/images\N96.xml,137,352,141,186
../Automatic_Number_Plate_Recognition/images\N97.xml,175,290,228,255
../Automatic_Number_Plate_Recognition/images\N98.xml,563,675,207,238
../Automatic_Number_Plate_Recognition/images\N99.xml,158,389,129,193
